NAME,size_hoc
CHR19P12,21
CHR8P22,10
CHR4Q24,7
CHR14Q13,11
CHR3P22,34
CHR4Q32,15
CHR3P21,70
CHR7P21,8
CHR9Q32,15
CHR4Q22,5
CHR5Q11,9
CHR4Q35,10
CHR2Q36,13
CHR3P14,19
CHR3P24,11
CHR1P33,8
CHR4P15,21
CHR5Q14,14
CHR4P16,29
CHR4P14,7
CHR10P11,7
CHR1Q43,8
CHR16P13,57
CHR5Q13,16
CHR5Q31,51
CHR8Q13,11
CHR2P11,8
CHR4Q25,13
CHR5Q33,24
CHR1Q22,16
CHR4Q34,10
CHR6P21,68
CHR3P25,25
CHR5Q12,8
CHR1Q31,13
CHR11P15,40
CHR17Q12,18
CHR13Q34,23
CHR16P12,23
CHR1P21,6
CHR1Q41,4
CHR7Q31,17
CHR10P13,11
CHR2Q24,12
CHR2Q37,28
CHR16P11,24
CHRXP21,18
CHR4Q31,24
CHR1Q32,21
CHR8P12,6
CHR16Q21,6
CHR7Q21,15
CHR10Q11,22
CHR10Q22,23
CHR1Q44,31
CHR1Q21,30
CHR21Q22,26
CHR4Q28,7
CHR17Q23,16
CHR6P22,58
CHR4Q21,14
CHR5Q22,1
CHR7Q36,15
CHR16Q12,5
CHR7P14,13
CHR10Q25,9
CHR8P21,8
CHR13Q13,12
CHR1P35,22
CHR14Q21,6
CHR10Q24,11
CHR10P12,11
CHR2Q12,9
CHR5Q35,28
CHR12Q15,17
CHR1P32,19
CHR10Q21,8
CHR11Q13,44
CHR12Q14,13
CHR12P12,11
CHR5Q23,5
CHR16Q24,15
CHR11Q24,14
CHR9Q34,54
CHR2Q32,8
CHR8Q12,9
CHR14Q24,83
CHR1P31,20
CHR7P22,12
CHR1Q23,37
CHR8Q21,24
CHR7P13,14
CHR3Q27,33
CHR3Q29,34
CHR3Q26,34
CHR3Q21,30
CHR2P24,13
CHR3Q23,15
CHR3Q25,25
CHR3Q13,32
CHR3Q22,30
CHR18Q21,40
CHR22Q13,84
CHR3Q12,11
CHR6Q15,13
CHR11P13,16
CHR2P16,19
CHR20P13,36
CHR15Q26,33
CHR22Q12,44
CHR15Q24,35
CHR2P13,39
CHR12P13,47
CHR2P15,7
CHR9Q22,27
CHR15Q25,32
CHR2P14,11
CHR12P11,16
CHR15Q23,12
CHR22Q11,43
CHR2Q14,25
CHR10Q23,11
CHR15Q15,27
CHR6Q21,22
CHR2P23,34
CHR16Q23,19
CHR2P25,13
CHR6Q24,12
CHR5P13,25
CHR7Q32,15
CHR6Q16,9
CHRXQ28,32
CHR15Q14,10
CHR13Q32,6
CHR18Q11,12
CHR10P15,13
CHR2Q31,19
CHR6Q25,28
CHR12Q12,10
CHR6Q22,19
CHR12Q21,18
CHR11Q14,11
CHR20P12,7
CHR7P15,20
CHR7Q33,16
CHR9Q31,19
CHR6P24,8
CHR18P11,24
CHR15Q13,12
CHR12Q13,60
CHR6P12,12
CHR15Q22,21
CHR18Q12,14
CHR8Q22,28
CHR8P11,21
CHR2Q21,11
CHR6Q23,5
CHR14Q32,32
CHR20Q11,29
CHR1P13,22
CHR15Q21,18
CHR17Q21,42
CHR6Q13,13
CHR19P13,182
CHR9P13,23
CHR1P22,22
CHR13Q12,10
CHR17Q11,21
CHR8Q11,5
CHR2Q33,28
CHR12Q24,83
CHR5P15,20
CHR21Q21,13
CHR16Q13,7
CHR8Q24,40
CHR12Q23,19
CHR11Q21,9
CHR11P11,18
CHR5Q32,14
CHR1Q24,16
CHR17Q24,8
CHR11Q23,25
CHRYQ11,10
CHR6P25,7
CHR6Q14,9
CHR2P22,18
CHR1Q25,15
CHR20P11,13
CHRXQ22,18
CHR9Q33,39
CHRXQ13,4
CHR1Q42,32
CHR7Q22,52
CHRXQ23,3
CHR9Q21,16
CHR7Q11,16
CHR11Q12,31
CHRXP11,26
CHR14Q11,24
CHR17P12,11
CHR12Q22,9
CHR7Q34,17
CHR9P24,8
CHR1P34,33
CHR6Q27,6
CHR2P21,11
CHRXQ26,17
CHR18Q22,6
CHR1P36,51
CHRXQ21,9
CHR13Q14,21
CHRXP22,22
CHR17P11,16
CHR4Q12,16
CHR20Q13,64
CHR8P23,23
CHR16Q22,28
CHRXQ24,8
CHR17Q25,35
CHR14Q22,4
CHR2Q11,30
CHR17P13,36
CHR14Q23,8
CHR14Q12,11
CHR17Q22,6
CHR11Q22,8
CHR2Q35,27
CHR4Q13,27
CHR10Q26,12
CHR9P21,11
