NAME,size_hoc
CHR4Q35,13
CHR8Q21,16
CHR12Q21,27
CHR4Q22,7
CHR1Q41,7
CHR4P15,11
CHRXQ22,28
CHR6Q24,11
CHR2Q31,17
CHR7Q33,8
CHR15Q23,7
CHR9Q21,29
CHR2P16,9
CHR2P21,11
CHR14Q23,15
CHR11Q21,21
CHRXQ21,11
CHR4P14,13
CHR5P13,22
CHR20P11,11
CHR1P31,27
CHR3P24,8
CHR3Q25,15
CHR15Q21,27
CHR18Q21,20
CHR2Q32,7
CHR12Q23,15
CHR9Q31,18
CHRXQ26,7
CHR13Q12,16
CHR3Q26,15
CHR6Q23,14
CHR8Q22,18
CHR4Q13,10
CHRXQ23,5
CHR11Q23,20
CHR6P12,18
CHR8Q13,5
CHR13Q14,34
CHR6Q27,9
CHR3Q13,32
CHR11Q22,16
CHR1Q44,19
CHR5Q13,13
CHR8P11,14
CHR12P12,7
CHR10P13,9
CHR10Q25,17
CHR2Q33,10
CHR7Q21,24
CHR14Q21,8
CHR17Q22,20
CHR18Q12,7
CHR1P22,13
CHR4Q31,9
CHR5Q23,9
CHR3P14,22
CHR6Q25,8
CHR14Q32,21
CHR20P12,12
CHR6P22,25
CHRXP22,21
CHR9P13,29
CHR1Q25,14
CHR9Q22,18
CHR16Q23,8
CHR10Q21,12
CHR2P22,17
CHR1P32,18
CHR1Q24,15
CHR5Q35,17
CHR5P15,10
CHR6Q22,8
CHR4Q21,16
CHR3Q22,22
CHR1P13,15
CHR17Q24,9
CHR10Q23,22
CHR18P11,15
CHR15Q13,17
CHR13Q13,9
CHR6P25,12
CHR11Q24,18
CHR7P12,4
CHR21Q22,24
CHRXP11,24
CHR8P23,15
CHR10Q26,16
CHR16P12,12
CHR9Q33,10
CHR20Q11,22
CHR14Q24,23
CHR11P15,20
CHR7Q34,8
CHR7Q22,8
CHR10Q11,14
CHR14Q12,8
CHR3Q29,7
CHR7Q31,17
CHR16Q24,12
CHR16Q22,23
CHR6Q21,15
CHR4Q32,3
CHR12Q14,15
CHR14Q11,13
CHR2Q14,16
CHR12Q24,29
CHR9P21,9
CHR2P11,7
CHR5Q33,10
CHR7Q36,21
CHR4Q12,4
CHR2Q21,10
CHR3Q21,25
CHR6Q14,14
CHR15Q26,2
CHR7P21,4
CHR13Q34,4
CHR14Q22,2
CHR3P22,11
CHR1P36,90
CHR19P13,125
CHR16Q21,12
CHR1Q21,52
CHR1Q22,10
CHR17Q12,18
CHR3Q27,8
CHR10Q24,20
CHR16P11,18
CHR15Q25,5
CHR16P13,51
CHR15Q24,6
CHR7P14,15
CHR1P35,14
CHR8P21,11
CHR12Q13,44
CHR5Q31,35
CHR17Q21,40
CHR9Q34,38
CHR10Q22,8
CHR1P34,33
CHR11Q13,55
CHR2Q11,8
CHR1Q23,10
CHR11Q12,29
CHR1Q32,15
CHR7Q32,9
CHR2Q35,6
CHR1Q42,14
CHR11P13,4
CHR6P21,54
CHR17P11,8
CHR11Q14,11
CHR2Q24,10
CHR7P22,6
CHR11P11,5
CHR5Q11,5
CHR7Q11,9
CHR17Q25,30
CHR22Q12,5
CHRXQ13,8
CHR19Q13,80
CHR17P13,31
CHR2P13,11
CHR15Q15,13
CHR3P25,11
CHR8Q24,27
CHR15Q22,9
CHR20Q13,27
CHR17Q23,5
CHR5Q32,3
CHR13Q32,3
CHR2P23,12
CHR17Q11,3
CHR20P13,12
CHR9Q32,5
CHR2Q37,7
CHR22Q11,11
CHR12P11,15
CHRXQ28,13
CHR7P15,5
CHR5Q14,5
CHR4P16,10
CHR2P25,4
CHR10P12,4
CHR12P13,11
CHR22Q13,13
CHR3P21,29
